Strain,4-Aminobutyrate,Acetate,Acetoin,Acetone,Alanine,Butyrate,Citrate,Ethanol,Formate,Fumarate,Glucose,Glycerol,Glycylproline,Malate,Maltose,Methanol,Pyruvate,Succinate,Valine,acetaldehyde_hydrate_ifr,acetaldehyde_ifr,ethyl acetate
70,0.2152,0.776933333,0.0289,0.010866667,0.054933333,0.226133333,0.490566667,264.6298333,0.009133333,0.007766667,0.723966667,7.616233333,0.810033333,0.6764,9.010566667,0.664366667,0.405866667,0.6236,0.074833333,0.3493,0.0729,0.075066667
72,0.232,0.930933333,0.033033333,0.0141,0.068566667,0.2412,0.4873,279.2431667,0.011733333,0.0052,1.283233333,7.138666667,0.499933333,0.6699,8.911433333,0.6739,0.5339,0.660966667,0.087866667,0.854633333,0.122266667,0.068366667
74,0.144466667,0.637333333,0.0232,0.009266667,0.0551,0.1476,0.406066667,230.1506333,0.009466667,0.0093,0.789366667,6.7657,0.6765,0.616533333,4.709666667,0.471933333,0.4053,0.554533333,0.045233333,0.700066667,0.0662,0.065766667
76,0.203433333,0.4934,0.020633333,0.009366667,0.0356,0.2357,0.4662,263.4627667,0.010066667,0.007866667,1.066366667,7.5482,0.8735,0.694033333,9.978033333,0.6535,0.277033333,0.766,0.079666667,1.456833333,0.078633333,0.078966667
77,0.112866667,0.5416,0.0184,0.016933333,0.044233333,0.226966667,0.467733333,258.1268,0.0086,0.006833333,1.1399,7.6521,0.9543,0.669533333,5.847533333,0.645933333,0.5428,0.8839,0.0806,1.237833333,0.092233333,0.076966667
78,0.222533333,0.649266667,0.025866667,0.011733333,0.028966667,0.131166667,0.445366667,257.4766,0.010133333,0.015533333,1.106066667,6.286566667,0.840166667,0.711233333,5.4049,0.655466667,0.1294,0.683966667,0.070166667,1.0657,0.060866667,0.0674
79,0.132166667,0.705133333,0.023366667,0.012666667,0.0613,0.2075,0.455866667,218.7773667,0.011366667,0.012533333,1.240333333,4.235933333,0.776,0.573833333,14.04136667,0.655466667,0.3187,0.529266667,0.0554,1.216966667,0.076166667,0.061866667
80,0.266166667,0.5508,0.029266667,0.0066,0.034266667,0.237433333,0.458366667,234.2489333,0.0101,0.008066667,1.119733333,4.256566667,0.9638,0.7342,13.8538,0.641366667,0.2838,0.747833333,0.0548,0.8078,0.0463,0.066766667
81,0.1988,0.717466667,0.022966667,0.016666667,0.044366667,0.2295,0.459566667,255.2235,0.0103,0.006366667,1.0891,8.191833333,0.667,0.6045,6.09,0.6467,0.364366667,0.629433333,0.0713,0.4175,0.0692,0.079833333
82,0.231633333,0.893966667,0.027466667,0.0178,0.0393,0.2449,0.4796,286.8431333,0.010466667,0.007766667,1.114633333,8.216833333,0.612766667,0.6729,5.498833333,0.6653,0.231733333,0.717733333,0.066266667,1.034033333,0.103966667,0.088533333
83,0.303466667,0.3975,0.026833333,0.013533333,0.0576,0.2555,0.493533333,272.5132667,0.0111,0.013066667,1.5188,8.553266667,0.7771,0.6967,7.038933333,0.644566667,0.463466667,0.608366667,0.081966667,1.3269,0.059133333,0.088266667
84,0.2244,0.4819,0.0292,0.010666667,0.061333333,0.2189,0.466366667,239.2979333,0.0129,0.012866667,1.236166667,8.193633333,0.574466667,0.665766667,8.1938,0.633433333,0.3709,0.622266667,0.0775,1.229566667,0.077566667,0.0567
85,0.341075,0.81645,0.02205,0.009675,0.188375,0.209625,0.473975,195.337925,0.0115,0.008725,1.208725,7.321175,0.782375,0.68205,39.5031,0.6484,0.315425,0.385875,0.11165,1.35985,0.045075,0.07295
86,0.272,0.991866667,0.0206,0.008933333,0.057666667,0.215933333,0.443833333,214.6396,0.0116,0.008666667,1.0881,5.0589,0.8794,0.6827,16.9869,0.6483,0.355233333,0.485666667,0.054833333,0.782966667,0.048866667,0.055733333
87,0.258866667,0.449233333,0.022566667,0.011266667,0.028466667,0.205733333,0.411466667,219.9709,0.008,0.008533333,0.982066667,6.448566667,0.516833333,0.5486,7.859666667,0.635233333,0.179133333,0.4702,0.057,1.1554,0.060066667,0.066566667
88,0.0783,0.800566667,0.024033333,0.0116,0.0386,0.2351,0.446966667,242.8532333,0.009166667,0.010733333,1.218333333,5.274166667,0.931166667,0.6639,10.42143333,0.627366667,0.344533333,0.761833333,0.078866667,0.964966667,0.050266667,0.060366667
89,0.333133333,0.691133333,0.0177,0.0197,0.346366667,0.129166667,0.414833333,97.57113333,0.015233333,0.010033333,1.0605,5.475933333,0.9097,0.554633333,75.76403333,0.6576,0.1538,0.228,0.227433333,0.980066667,0.030066667,0.021066667
90,0.356066667,1.3344,0.022066667,0.012266667,0.274566667,0.154366667,0.423533333,122.0753,0.018433333,0.011533333,1.236533333,8.072733333,0.828466667,0.5595,64.55666667,0.629566667,0.1023,0.3154,0.138033333,1.1167,0.032066667,0.055433333
91,0.334966667,0.176866667,0.019966667,0.0083,0.412333333,0.125466667,0.341366667,61.19506667,0.018666667,0.011333333,19.39973333,3.493666667,0.987233333,0.235766667,80.4137,0.6629,0.117033333,0.169533333,0.2706,0.405733333,0.019966667,0.019933333
92,0.341666667,0.638233333,0.019666667,0.016566667,0.323133333,0.121566667,0.4209,87.2025,0.013433333,0.009233333,1.164033333,2.240766667,0.886566667,0.553933333,75.93596667,0.650833333,0.0949,0.211533333,0.1998,1.076033333,0.029033333,0.020633333
93,0.350366667,0.8511,0.046166667,0.1088,0.405166667,0.3485,0.242266667,70.70556667,0.1696,0.0058,12.19996667,2.844433333,0.8495,0.186,78.0317,0.688166667,0.103,0.582066667,0.255133333,0.7182,0.021233333,0.023766667
95,0.3359,1.184133333,0.019733333,0.039633333,0.108833333,0.203466667,0.405066667,185.7775,0.0144,0.012833333,1.235966667,8.3062,0.780933333,0.603933333,28.28653333,0.6253,0.1113,0.3352,0.0721,1.344033333,0.043133333,0.045033333
96,0.3242,1.620333333,0.012366667,0.0158,0.1693,0.191533333,0.426066667,161.2740667,0.012466667,0.011233333,1.154266667,6.9351,0.741866667,0.5895,43.9427,0.633833333,0.113033333,0.398466667,0.098733333,1.130466667,0.0343,0.074933333
97,0.138925,0.79775,0.0258,0.02495,0.062825,0.2141,0.447575,228.5762,0.01695,0.017075,1.788025,7.634425,0.684075,0.62775,10.88315,0.625925,0.2927,0.69665,0.06935,1.143975,0.07125,0.069025
167,0.2891,0.582766667,0.020566667,0.0126,0.3274,0.175,0.392066667,165.2453667,0.052633333,0.010166667,2.6085,6.1359,0.861633333,0.447866667,48.81973333,0.6486,0.1763,0.180933333,0.157166667,1.274,0.025966667,0.1254
192,0.3099,0.5863,0.012033333,0.015066667,0.0618,0.2364,0.463833333,239.3655,0.0183,0.009466667,1.250766667,7.3572,0.812533333,0.6263,8.548466667,0.6374,0.408533333,0.501533333,0.0533,1.241633333,0.038466667,0.089066667
196,0.291666667,0.275333333,0.0192,0.0078,0.058766667,0.2153,0.480733333,244.3067333,0.0071,0.0115,0.9453,7.204533333,0.895566667,0.667433333,5.107866667,0.6308,0.382266667,0.5732,0.062533333,0.8631,0.041066667,0.075466667
197,0.276,1.025666667,0.033266667,0.0249,0.0714,0.205933333,0.429466667,210.8235667,0.033466667,0.0106,1.2808,5.465433333,0.717633333,0.696133333,13.83686667,0.609166667,0.131866667,0.663633333,0.034366667,0.977666667,0.074533333,0.046433333
200,0.3335,0.982366667,0.023833333,0.015633333,0.0427,0.242866667,0.4658,234.0382,0.013133333,0.009533333,1.272433333,3.882533333,0.9825,0.7094,14.842,0.658866667,0.168233333,0.450233333,0.070066667,1.2891,0.0581,0.069233333
205,0.274133333,0.448466667,0.0274,0.014066667,0.105166667,0.2311,0.452233333,247.3195,0.014133333,0.011066667,1.0935,7.365933333,0.531466667,0.771933333,5.5149,0.6513,0.5897,0.714533333,0.073233333,0.5962,0.088766667,0.0568
206,0.2883,0.944733333,0.032466667,0.0145,0.133333333,0.1943,0.3874,220.0196333,0.041566667,0.0134,1.018066667,4.376866667,0.454633333,0.648966667,7.1437,0.468433333,0.0904,0.642666667,0.056466667,0.940866667,0.083266667,0.051033333
208,0.3469,0.8219,0.019966667,0.008733333,0.070266667,0.233033333,0.458866667,255.2387333,0.0144,0.0149,1.194966667,9.119066667,0.9647,0.8755,14.41463333,0.651866667,0.095733333,0.612133333,0.035266667,1.359233333,0.0477,0.0766
210,0.22205,0.765,0.01585,0.0146,0.02875,0.22445,0.45605,247.14775,0.0108,0.01355,1.09555,7.9101,0.8231,0.72315,6.93305,0.6356,0.1937,0.52165,0.08075,1.3147,0.0457,0.0679
