Strain,4.Aminobutyrate,Acetate,Acetoin,Acetone,Alanine,Butyrate,Citrate,Ethanol,Formate,Fumarate,Glucose,Glycerol,Lactate,Malate,Maltose,Methanol,Pyruvate,Succinate,Valine,Acetaldehyde.Hydrate.IFR,Acetaldehyde.IFR,Ethyl Acetate
1,0.057333333,0.2629,0.004366667,0.1268,0.093866667,0.0156,0.014466667,26.9224,0.0028,0.001366667,0.022733333,0.290266667,0.107333333,0.035966667,0.011,0.2423,0.004966667,0.071,0.001833333,0.046033333,0.016933333,0.050733333
2,0.0271,1.8242,0.0064,0.1431,0.05275,0.0111,0.01115,32.37525,0.00485,0.0049,0.02365,2.92665,0,0.1089,0.011,0.2626,0.00805,0.00525,0.00165,0.09225,0.05355,0.0278
4,0.029366667,0.987766667,0.004333333,0.089366667,0.0568,0.010833333,0.007566667,32.64093333,0.005466667,0.001733333,0.0477,4.835833333,0,0.0363,0.0069,0.2445,0.0048,0.055466667,0.004666667,0.023833333,0.031666667,0.024833333
6,0.024366667,0.903966667,0.004266667,0.07,0.061466667,0.011066667,0.006866667,33.9478,0.007066667,0.001,0.054166667,4.683633333,0.166866667,0.038366667,0.007333333,0.245133333,0.0195,0.050433333,0.005233333,0.0443,0.0196,0.019466667
8,0.033266667,0.801733333,0.004533333,0.1024,0.0251,0.010866667,0.008866667,33.6759,0.0032,0.0011,0.026833333,4.006733333,0,0.051533333,0,0.245733333,0.0047,0.027866667,0.0008,0.0798,0.0254,0.017633333
9,0.060766667,0.593133333,0.007466667,0.1268,0.071166667,0.012766667,0.010866667,32.7582,0.003066667,0.000533333,0.060933333,4.624933333,0.081466667,0.031766667,0.0011,0.2424,0.003866667,0.0558,0.009266667,0.127066667,0.069533333,0.017233333
10,0.057533333,0.478866667,0.007766667,0.103366667,0.046633333,0.012133333,0.011133333,31.02143333,0.003866667,0.0006,0.029233333,4.036333333,0,0.031733333,0.0011,0.243766667,0.004366667,0.030733333,0.006766667,0.130333333,0.080033333,0.014966667
16,0.04,0.819433333,0.004166667,0.090566667,0.0395,0.009433333,0.010633333,31.88756667,0.0039,0.0013,0.0222,4.231333333,0.0934,0.043666667,0.0019,0.246633333,0.0049,0.0236,0.001,0.122233333,0.081733333,0.0173
17,0.030925,1.6852625,0.00955,0.0470875,0.035725,0.0204875,0.015675,32.4533125,0.00345,0.003725,0.0233125,2.4733625,0.0059,0.1814875,0.00205,0.2142875,0.05295,0.026625,0.0029875,0.1300375,0.0636625,0.0578375
18,0.0461,2.2523,0.0183,0.102233333,0.035566667,0.0174,0.0225,24.101,0.002633333,0.005233333,0.0221,1.913966667,0,0.230466667,0,0.1588,0.0147,0.0106,0.008266667,0.118,0.0521,0.0171
20,0.0414,2.7938,0.0133,0.118566667,0.0253,0.0121,0.0178,27.52736667,0.004,0.005433333,0.024766667,2.460833333,0,0.1515,0,0.1556,0.010833333,0.0076,0.002033333,0.150033333,0.078566667,0.0205
21,0.033933333,1.935533333,0.0089,0.0854,0.0269,0.013266667,0.014266667,29.36626667,0.0046,0.002866667,0.020033333,2.993866667,0,0.097766667,0,0.244033333,0.006333333,0.051833333,0.001233333,0.120166667,0.048166667,0.018866667
22,0.0447,0.165533333,0.007233333,0.1791,0.037033333,0.017666667,0.017333333,27.48836667,0.0028,0.0007,0.016266667,0.0393,0.063766667,0.0476,0,0.2437,0.0107,0.038033333,0.0009,0.0517,0.0236,0.0704
23,0.0301,0.119133333,0.004366667,0.135866667,0.0409,0.016866667,0.012866667,25.7393,0.0379,0.0008,0.028066667,2.599633333,0.105133333,0.0324,0,0.250033333,0.0059,0.0161,0.003466667,0.048,0.019033333,0.0269
26,0.0148,0.9139,0.0032,0.128333333,0.0398,0.020733333,0.006966667,30.4719,0.004333333,0.0012,0.040733333,4.6925,0.113133333,0.042433333,0.000333333,0.240133333,0.0129,0.049766667,0.001533333,0.0681,0.0144,0.0171
31,0.043966667,1.651666667,0.0056,0.1351,0.038,0.009433333,0.013466667,30.72176667,0.004433333,0.002533333,0.014733333,3.369933333,0,0.104366667,0.003666667,0.2548,0.0077,0.0527,0.002966667,0.1131,0.059033333,0.0173
36,0.053133333,0.662766667,0.0045,0.131066667,0.0207,0.010366667,0.015433333,29.07313333,0.003966667,0.001133333,0.019566667,3.809933333,0,0.035766667,0.003666667,0.241066667,0.0036,0.047133333,0.002433333,0.125633333,0.055866667,0.0126
39,0.049,1.95385,0.00695,0.23715,0.04435,0.0123,0.0142,34.9958,0.00335,0.0027,0.02605,3.68545,0,0.12755,0,0.25675,0.00875,0.0065,0.00215,0.15225,0.0759,0.0162
40,0.0455,0.415,0.0074,0.114833333,0.0175,0.012866667,0.0135,27.7738,0.003366667,0.0013,0.052166667,2.9866,0,0.055633333,0,0.233266667,0.0038,0.0021,0.002633333,0.1042,0.0345,0.010733333
43,0.033466667,0.9121,0.004633333,0.157633333,0.0374,0.010433333,0.010266667,26.90536667,0.0032,0.001433333,0.0212,3.180833333,0,0.075766667,0,0.2295,0.005533333,0.054,0.001533333,0.109933333,0.0431,0.0118
44,0.0384,1.3631,0.0061,0.232466667,0.040366667,0.010666667,0.012233333,29.73606667,0.003566667,0.001866667,0.017333333,3.7438,0,0.078766667,0,0.2362,0.006333333,0.0042,0.002633333,0.120933333,0.053566667,0.0154
45,0.020733333,0.7939,0.0047,0.1082,0.0224,0.009966667,0.0098,31.91783333,0.001466667,0.001033333,0.0191,3.8532,0.083266667,0.054433333,0,0.169666667,0.004566667,0.0025,0.000833333,0.0803,0.0327,0.0143
46,0.037266667,2.061433333,0.018066667,0.1548,0.0189,0.013233333,0.020333333,26.097,0.002366667,0.0046,0.0215,2.510966667,0,0.1018,0,0.239266667,0.006866667,0.005,0.000266667,0.129033333,0.060833333,0.0143
49,0.036,1.509966667,0.017633333,0.1664,0.035633333,0.015566667,0.022166667,26.0357,0.002333333,0.005666667,0.010333333,1.2653,0,0.1442,0.001566667,0.230733333,0.010066667,0.004933333,0.000866667,0.091333333,0.052833333,0.010866667
51,0.0313,0.7119,0.011366667,0.019833333,0.0231,0.014033333,0.021966667,18.37246667,0.0044,0.0023,0.0263,13.81746667,0,0.056466667,0,0.223266667,0.004766667,0.028133333,0.0028,0.0985,0.038933333,0.0315
52,0.0157,1.340933333,0.0107,0.020133333,0.020733333,0.0157,0.0133,23.619,0.0041,0.003133333,0.024666667,13.9855,0,0.0685,0,0.2373,0.0052,0.072833333,0.001666667,0.099133333,0.0462,0.0314
54,0.0397,0.439766667,0.0084,0.0099,0.028066667,0.0094,0.014966667,26.8895,0.003333333,0.002966667,0.037166667,14.11566667,0.016933333,0.033966667,0,0.231466667,0.0046,0.0235,0.001633333,0.113933333,0.057166667,0.014766667
55,0.018866667,0.501366667,0.006,0.020533333,0.038933333,0.009466667,0.0074,24.2134,0.002566667,0.001933333,0.039133333,9.325466667,0.110433333,0.031433333,0,0.222133333,0.019666667,0.0715,0.0009,0.0706,0.026966667,0.011366667
57,0.033433333,0.345066667,0.008933333,0.006,0.0345,0.014133333,0.012433333,20.09756667,0.0524,0.002366667,0.0589,14.73256667,0.074333333,0.032966667,0,0.230266667,0.004766667,0.035766667,0.0023,0.0979,0.043633333,0.004266667
58,0.025966667,0.371766667,0.0109,0.0091,0.026766667,0.011433333,0.0135,22.07886667,0.004166667,0.003933333,0.039566667,12.32856667,0.0227,0.097033333,0,0.230033333,0.008,0.003233333,0.001433333,0.155033333,0.057433333,0.009233333
59,0.0265,0.4566,0.003366667,0.005866667,0.036433333,0.007766667,0.0085,29.35836667,0.0029,0.002566667,0.0192,13.74166667,0.086666667,0.030833333,0,0.2324,0.005533333,0.0038,0.0023,0.0739,0.031933333,0.012033333
60,0.030866667,1.504133333,0.005533333,0.008766667,0.026333333,0.008666667,0.0081,27.8818,0.003766667,0.002266667,0.041833333,14.23103333,0.026166667,0.030233333,0,0.2315,0.003233333,0.002,0.002266667,0.1054,0.036333333,0.0145
61,0.039366667,2.166,0.017333333,0.015866667,0.019066667,0.0173,0.0154,30.08873333,0.0044,0.003233333,0.088466667,14.58463333,0.078566667,0.050366667,0,0.2365,0.006833333,0.034233333,0.0019,0.181233333,0.1143,0.013733333
62,0.033833333,1.632866667,0.008033333,0.009633333,0.0367,0.0132,0.010333333,34.50036667,0.003533333,0.0033,0.0559,15.71323333,0.0609,0.055333333,0,0.234633333,0.0073,0.003033333,0.001533333,0.1645,0.095433333,0.012833333
63,0.040066667,0.506833333,0.021666667,0.0143,0.0507,0.0138,0.017133333,33.19943333,0.004366667,0.002933333,0.084266667,16.14563333,0,0.042333333,0,0.2263,0.005166667,0.0019,0.0051,0.1319,0.054,0.024633333
64,0.049566667,1.0424,0.006133333,0.0077,0.0328,0.015166667,0.012866667,24.0192,0.004366667,0.004866667,0.081633333,15.04986667,0,0.053533333,0,0.231633333,0.0066,0.041366667,0.0037,0.0989,0.0563,0.015633333
65,0.051166667,2.164466667,0.011566667,0.005833333,0.0382,0.016566667,0.0189,21.98936667,0.0046,0.003666667,0.054866667,14.2416,0,0.078666667,0,0.2319,0.0061,0.033133333,0.0042,0.097566667,0.054633333,0.0136
68,0.038766667,5.5954,0.016566667,0.004833333,0.0586,0.013833333,0.023766667,18.58486667,0.004666667,0.0075,0.028933333,13.1036,0.022733333,0.229433333,0,0.240766667,0.021433333,0.034233333,0.007366667,0.079933333,0.032933333,0.015333333
71,0.030933333,0.919666667,0.0068,0.005966667,0.051533333,0.007133333,0.008333333,27.0557,0.003766667,0.0029,0.0509,16.7677,0.0427,0.026333333,0,0.229566667,0.004566667,0.065533333,0.0029,0.104433333,0.0542,0.009566667
100,0.0088,0.878066667,0.003933333,0.0027,0.003533333,0.0144,0.007466667,37.2419,0.006633333,0.0011,0.054066667,4.8477,0,0.0438,0,0.260733333,0.004666667,0.058366667,0.000333333,0.070133333,0.029133333,0.030833333
111,0.013133333,0.016133333,0.038933333,0.015233333,0.0229,0.0111,0.013166667,39.54943333,0.005566667,0.001166667,0.077766667,4.977566667,0,0.100466667,0,0.257633333,0.098533333,0.006666667,0.001133333,0.099,0.0374,0.059866667
128,0.015133333,0.129666667,0.004433333,0.004166667,0.0051,0.0064,0.010066667,35.5103,0.0062,0.002166667,0.014933333,5.618433333,0,0.0852,0,0.229,0.0646,0.0055,0.000266667,0.087333333,0.028966667,0.007366667
135,0.054233333,0.0386,0.0087,0.020466667,0.0493,0.016066667,0.0229,26.7742,0.006033333,0.0019,0.319266667,5.078466667,0.0689,0.081233333,0,0.281066667,0.008833333,0.080666667,0.0033,0.091433333,0.0425,0.052066667
138,0.0145,0.1101,0.038833333,0.01,0.008966667,0.011066667,0.0246,19.14053333,0.004533333,0.0007,0.045866667,2.622466667,0.070566667,0.023833333,0,0.182533333,0.094033333,0.011166667,0.000333333,0.048866667,0.017133333,0.0193
140,0.0697,0.142133333,0.0112,0.173,0.0486,0.013666667,0.0177,30.6121,0.0034,0.001266667,0.059033333,5.496033333,0,0.0586,0,0.283233333,0.006133333,0.051133333,0.0007,0.157833333,0.082166667,0.040433333
141,0.038233333,0.045466667,0.014033333,0.2999,0.046766667,0.016833333,0.0168,28.67386667,0.0049,0.000966667,0.012333333,4.244766667,0.1498,0.0432,0,0.2796,0.0119,0.0337,0.002133333,0.141633333,0.052833333,0.035866667
142,0.003266667,0.166866667,0.010266667,0.012,0.0023,0.005766667,0.005333333,13.8394,0.040766667,0,29.34473333,1.188933333,0,0.0084,0,0.2549,0.009933333,0.0046,0.000633333,0.036233333,0.008433333,0.008066667
143,0.008133333,0.964766667,0.004033333,0.006866667,0.010766667,0.0066,0.003366667,39.21693333,0.004733333,0.000766667,0.028533333,4.349233333,0.0425,0.024933333,0,0.251666667,0.0031,0.064533333,0.000433333,0.1027,0.009666667,0.031633333
147,0.022366667,0.030333333,0.0028,0.098766667,0.0457,0.0156,0.0142,14.40986667,0.096433333,0.0008,0.0168,3.184233333,0.0571,0.037266667,0,0.189433333,0.005333333,0.001533333,0.000133333,0.028733333,0.009766667,0.016566667
151,0.006833333,1.633533333,0.004233333,0.0059,0.014833333,0.010233333,0.0076,39.24263333,0.0062,0.001466667,0.068566667,4.4116,0,0.021666667,0,0.247666667,0.003433333,0.059733333,0.0013,0.105666667,0.034766667,0.0219
152,0.003666667,0.3001,0.0165,0.005933333,0.010333333,0.0051,0.0029,38.4708,0.020533333,0.0011,26.0916,2.088866667,0.135333333,0.010733333,0,0.162033333,0.0594,0.027,0.0005,0.177333333,0.056933333,0.133133333
154,0.006133333,0.0925,0.005133333,0.030666667,0.009933333,0.0101,0.003066667,16.15093333,0.027233333,0.0051,32.79086667,1.412933333,0,0.007666667,0,0.184833333,0.0329,0.0076,0.001466667,0.123666667,0.012833333,0.033066667
155,0.017966667,0.2836,0.020033333,0.015033333,0.034133333,0.017766667,0.0078,22.00766667,0.011633333,0.004066667,27.30453333,2.7448,0,0.0188,0.003666667,0.283333333,0.039766667,0.013933333,0.003,0.162566667,0.0134,0.055833333
158,0.0051,0.2244,0.017933333,0.0133,0.004466667,0.008366667,0.002633333,17.438,0.047366667,0.0018,16.8442,1.7943,0,0.008233333,0.011,0.1784,0.008333333,0.0101,0.000766667,0.106966667,0.0217,0.057233333
159,0.04655,0.19995,0.00655,0.0124,0.03725,0.0166,0.0236,28.27335,0.0087,0.0016,0.02085,5.21355,0.0588,0.055,0,0.2743,0.00665,0.0665,0.0011,0.1536,0.05715,0.05815
161,0.0443,0.04135,0.01415,0.20385,0.0411,0.01765,0.0152,29.1594,0.0043,0.00205,0.0318,4.58045,0.12565,0.0496,0,0.277,0.0079,0.0119,0.00045,0.1268,0.04635,0.05375
162,0.0317,0.54245,0.025,0.0068,0.0587,0.01915,0.0544,27.3419,0.00255,0.0005,0.0102,0.0249,0.09005,0.0913,0,0.2836,0.0259,0.0252,0.00045,0.08915,0.04985,0.04635
171,0.007266667,0.654166667,0.009866667,0.003066667,0.0054,0.009333333,0.009566667,36.26306667,0.004533333,0.003833333,0.047566667,5.290133333,0,0.046,0.007333333,0.238366667,0.004033333,0.083266667,0,0.156166667,0.075733333,0.008066667
179,0.016833333,0.782966667,0.0037,0.003866667,0.0318,0.023566667,0.004333333,42.35476667,0.005466667,0.0013,0.047266667,5.409633333,0.237633333,0.0163,0,0.248166667,0.009466667,0.061666667,0.002466667,0.104966667,0.022133333,0.031233333
188,0.017366667,0.7727,0.003866667,0.0037,0.022133333,0.0067,0.0039,42.9254,0.003533333,0.000533333,0.060733333,5.124333333,0.276466667,0.0313,0,0.246633333,0.018566667,0.064266667,0.0006,0.103966667,0.008466667,0.0304
195,0.0195,0.048566667,0.0028,0.0155,0.0199,0.0183,0.004066667,34.13726667,0.002666667,0.001033333,0.052833333,5.549466667,0.202866667,0.0078,0.003666667,0.278433333,0.007766667,0.017,3.33E-05,0.0124,0.0106,0.0352
232,0.030433333,0.564066667,0.004533333,0.0077,0.0364,0.012033333,0.007466667,37.8746,0.003766667,0.001733333,0.021033333,4.8057,0.129066667,0.0337,0.003666667,0.244966667,0.0053,0.0952,0.0004,0.112833333,0.043233333,0.0764
235,0.034966667,0.521566667,0.004366667,0.0201,0.046166667,0.012266667,0.007466667,38.1667,0.002933333,0.0013,0.0184,4.976766667,0.0981,0.0299,0,0.248866667,0.006166667,0.034566667,0.0013,0.1146,0.045766667,0.027533333
243,0.0136,0.136733333,0.014466667,0.003933333,0.0062,0.022433333,0.006533333,43.93693333,0.006233333,0.003566667,0.042,5.0436,0,0.0848,0.003666667,0.245533333,0.126666667,0.004766667,0.000266667,0.128133333,0.0307,0.0263
244,0.017,0.0924,0.005366667,0.009733333,0.0037,0.021033333,0.016066667,42.75516667,0.0047,0.0041,0.025166667,5.937233333,0,0.154933333,0,0.249633333,0.086166667,0.008833333,0,0.096033333,0.033766667,0.0683
350,0.0182,0.257933333,0.006266667,0.0092,0.007633333,0.017333333,0.0252,39.7426,0.004,0.0112,0.033933333,4.3827,0.0887,0.130033333,0.003666667,0.2504,0.0646,0.006966667,0,0.0811,0.018733333,0.029966667
360,0.038233333,0.835733333,0.005,0.007366667,0.0602,0.015166667,0.0127,31.90606667,0.0049,0.001066667,0.015666667,4.801533333,0.030133333,0.044566667,0,0.225133333,0.003766667,0.066933333,0.001133333,0.078,0.033233333,0.027233333
361,0.035866667,1.004266667,0.007633333,0.0058,0.031233333,0.016666667,0.012566667,31.9313,0.003433333,0.001733333,0.010566667,4.2229,0,0.058166667,0,0.236833333,0.004433333,0.002533333,0.0008,0.1083,0.0603,0.021766667
371,0.011466667,0.099066667,0.044466667,0.087833333,0.011166667,0.015366667,0.0462,34.92176667,0.0052,0.001233333,0.0303,3.645066667,0.0396,0.030233333,0,0.2832,0.097766667,0.022,0,0.1976,0.070633333,0.0577
372,0.0104,0.064966667,0.041166667,0.122866667,0.0095,0.014066667,0.0317,30.85333333,0.0059,0.001333333,0.050833333,3.252866667,0.088266667,0.035333333,0,0.276233333,0.1136,0.0081,0,0.234666667,0.085033333,0.060166667
373,0.017466667,0.145333333,0.0571,0.0516,0.024133333,0.011,0.2161,31.50713333,0.0053,0.052666667,0.0325,4.375666667,0.034766667,0.1574,0,0.284033333,0.1757,0.050033333,0.0003,0.250833333,0.062566667,0.063933333
377,0.0215,0.324466667,0.006133333,0.0109,0.0224,0.031066667,0.015133333,32.5153,0.0024,0.0038,1.068866667,1.599966667,0.128133333,0.0375,0.003666667,0.186833333,0.0206,0.0801,0.000333333,0.039733333,0.015833333,0.018433333
385,0.021133333,0.6465,0.024233333,0.009433333,0.011266667,0.024366667,0.0145,37.71376667,0.0067,0.002766667,0.021766667,4.0061,0,0.0442,0.001133333,0.16,0.005233333,0.054966667,0,0.101033333,0.012033333,0.009866667
388,0.04315,0.551975,0.00445,0.00495,0.019525,0.009,0.010075,31.885625,0.004175,0.0015,0.01155,4.20775,0.090825,0.02905,0,0.23505,0.003725,0.0436,0.001275,0.1073,0.031075,0.0147
392,0.0043,0.017966667,0.001133333,0.0188,0.003466667,0.0044,0.004666667,10.2537,0.003066667,0.0002,0.011533333,1.551666667,0.048533333,0.0103,0,0.091433333,0.003266667,0.000733333,0,0.006566667,0.0025,0.0073
408,0.032533333,3.9716,0.0133,0.022866667,0.026933333,0.015933333,0.0173,21.74723333,0.0046,0.002566667,0.040666667,3.541566667,0.0161,0.0516,0.003666667,0.151233333,0.0068,0.058133333,0.002533333,0.1078,0.078933333,0.0715
411,3.4326,16.84533333,2.537333333,11.43276667,4.980533333,2.4773,2.985,1683.683733,0.219866667,0.08,2.038233333,447.2561667,20.54876667,6.927166667,0.003666667,31.33003333,1.162233333,1.037766667,0.313466667,5.272933333,1.686266667,5.268633333
416,0.05135,0.68775,0.0045,0.0046,0.03255,0.0112,0.0114,35.94055,0.0042,0.0014,0.0185,4.5678,0.1024,0.0399,0,0.24705,0.00515,0.09325,0.00125,0.09065,0.029,0.0136
417,0.016,1.884533333,0.0081,0.003533333,0.006433333,0.012633333,0.009366667,36.02933333,0.004766667,0.0029,0.046466667,4.631866667,0,0.070833333,6.67E-05,0.2408,0.005833333,0.003866667,0,0.182366667,0.0758,0.0097
426,0.020033333,0.383433333,0.004666667,0.015233333,0.044666667,0.021,0.009633333,38.90243333,0.002733333,0.000933333,0.0443,4.8353,0.3521,0.0387,0,0.256566667,0.050266667,0.0674,0.0028,0.113033333,0.0543,0.034033333
431,0.0374,0.782866667,0.007066667,0.0051,0.0413,0.014566667,0.011066667,26.9192,0.006066667,0.001166667,0.022966667,5.193433333,0.094833333,0.053033333,0,0.2018,0.0051,0.057666667,0.001633333,0.038466667,0.024733333,0.010033333
464,0.021233333,0.406966667,0.003766667,0.002466667,0.0341,0.015333333,0.0066,38.12033333,0.005733333,0.002133333,0.022233333,5.532133333,0.059333333,0.020333333,0.003666667,0.2447,0.004066667,0.0926,0.004666667,0.139366667,0.068266667,0.008566667
469,0.018966667,2.3584,0.005366667,0.0027,0.0062,0.0179,0.012266667,34.8166,0.004766667,0.002233333,0.020266667,4.751033333,0,0.045133333,0,0.240266667,0.003533333,0.0526,0,0.196066667,0.128933333,0.010166667
